"HSA Provider
(Click for more details)",State,Monthly Maintenance Fee,Investment Options
1st Security Bank,WA,,
1st Source Bank,IN,$1.50*,
3Rivers Federal Credit Union,IN,$0.00,
4Front Credit Union,MI,$0.00,
A+ Federal Credit Union,TX,,
AAC Credit Union,MI,$0.00,
AbbyBank,WI,$0.00,
Acadia Federal Credit Union,ME,,CD
Achieva Credit Union,FL,,CD
Adams State Bank,NE,,
Addition Financial Credit Union,FL,,
Adirondack Bank,NY,$0.00,
Advantage Credit Union,IA,$0.00,
Adventure Credit Union,MI,$0.00,
Advia Credit Union,MI,,
Affinity Federal Credit Union,NJ,$0.00,
AGCU,MO,$0.00,
Air Academy Federal Credit Union,CO,,
Alamosa State Bank,CO,$5.00*,
Alden State Bank,NY,,
ALEC,IL,$0.00,MF CD
Alltru Credit Union,MO,,
Alpena Alcona Area Credit Union,MI,$0.00,
Alpine Bank,CO,$2.00*,
Alternatives Federal Credit Union,NY,$0.83*,
Altra Federal Credit Union,WI,$0.00,CD
Amarillo National Bank,TX,$3.00,
America’s Credit Union,TX,$0.00,
American Community Bank,IN,$0.00,
American Exchange Bank,NE,,
American Heritage Bank,MN,$0.00,
American Momentum Bank,TX,$2.00,
American National Bank,WI,$0.00,
American National Bank,TX,$0.00,
American National Bank of Texas,TX,$5.00*,
American Riviera Bank,CA,$0.00,
American State Bank,IA,,SDB
Americana Community Bank,MN,$3.00,
AmeriCU,NY,$0.00,
Ameris Bank,GA,$0.00*,
AmFirst,AL,$0.00,
Anahuac National Bank,TX,$0.00,
ANB Bank,CO,$5.00,
Antwerp Exchange Bank,OH,,
Arbor Bank,NE,$3.00*,
Arcadia Credit Union,WI,$0.00,
Arcadian Bank,MN,$2.50*,
Ardent Credit Union,PA,$0.00,
Arkansas Federal Credit Union,AR,$0.00,
Ascend Bank,CT,,
Ascend Federal Credit Union,TN,$0.00,
Ashland Credit Union,KY,$0.00,
Associated Bank,WI,$0.00*,MF SDB CD
Associated Credit Union,GA,,
Atlantic Federal Credit Union,ME,$0.00,
Atlantic Financial Federal Credit Union,MD,$0.00,
Atlantic Union Bank,VA,$3.50,
Atomic Credit Union,OH,,
Auburn Savings Bank,ME,,
Auburn State Bank,NE,,
Austin Bank,TX,$5.00*,
Avidia Bank,MA,$0.00,MF
Azura Credit Union,KS,$0.00,
Bangor Federal Credit Union,ME,$0.00,
Bank First,WI,,
Bank Forward,ND,$2.00,
Bank Michigan,MI,$1.25*,
Bank Midwest,MO,,
Bank Midwest,MN,$1.25,
Bank of Advance,MO,$2.00,
Bank of America,NC,$2.50,MF
Bank of Ann Arbor,MI,$4.00,
Bank of Bozeman,MT,,
Bank of Cashton,WI,$2.08*,SDB
Bank of Deerfield,WI,$0.00,CD
Bank of Dickson,TN,$3.00*,
Bank of Guam,GU,,
Bank of Jackson Hole,WY,$1.67*,
Bank of New Hampshire,NH,,
Bank of Oak Ridge,NC,,
Bank of the Pacific,WA,$3.00,
Bank of The San Juans,CO,$0.00,
Bank of Utah,UT,$0.00,
Bankers Trust,IA,$3.00*,CD
BankORION,IL,$0.00*,
BankWest,SD,,
Banterra,IL,$0.00,
Bar Harbor Bank & Trust,ME,$0.00,
Baraboo State Bank,WI,$5.00*,
Bath State Bank,IN,$0.00,
Bellco Credit Union,CO,$0.00,CD
Better Banks,IL,$0.00,
Big Horn Federal,WY,,
Black Hills Community Bank,SD,$0.00,
Black Hills Federal Credit Union,SD,$0.00,
Blaze Credit Union,MN,,
BLC Community Bank,WI,$0.00,
Bloom Credit Union,MI,,
Blue Federal Credit Union,WY,$0.00,
Blue Ridge Bank,VA,$0.00,
BMI Federal Credit Union,OH,,MF
BNC National Bank,ND,,
Boone Bank And Trust Co,IA,$5.00*,
Border State Bank,MN,$2.00,
Breakwater Federal Credit Union,MI,,
Brenham National Bank,TX,$2.00,
Broadview Federal Credit Union,NY,,
Brown County State Bank,IL,,
Bruning Bank,NE,$0.00*,
BTC Bank,MO,,
Buckeye Community Bank,OH,$3.00*,
Busey Bank,IL,,
Byline Bank,IL,$0.00,
Byron Bank,IL,$0.00*,
Cache Valley Bank,UT,,
Cadence Bank,MS,$2.00*,
California Credit Union,CA,$1.00*,
Camden National Bank,ME,$0.00,
Canvas Credit Union,CO,$0.00,
CapEd Credit Union,ID,$0.00,
Capital Bank,MD,,
Capital Bank,NY,$0.00*,
Capital Credit Union,WI,$0.00,
Capitol Bank,WI,,
Carolina Trust Federal Credit Union,SC,$0.00,
Carolinas Telco Federal Credit Union,NC,$0.00,
Carter Credit Union,LA,$0.00,
Cashmere Valley Bank,WA,$2.50*,
Cattle Bank & Trust,NE,$3.00*,
CCFBank,MN,,
CEFCU,IL,$0.00,
Centennial Bank,AR,$0.00,
Centier Bank,IN,$0.00,
Centra Credit Union,IN,,
Central Bank,IA,$2.00*,
Central Bank Illinois,IL,$5.00*,
Centrust Bank,IL,,
Charter Oak Credit Union,CT,$0.00,
Chevron Federal Credit Union,CA,$0.00,
Choice One Bank,MI,,
Christian Financial Credit Union,MI,$0.00,
CIBC,IL,$0.00,
CIBM Bank,WI,$7.00*,
Ciera Bank,TX,,
Cinfed Credit Union,OH,$0.00,
Circle Federal Credit Union,MI,$0.00,
Citizens Bank Minnesota,MN,$0.00*,
Citizens Bank of Chatsworth,IL,$2.00*,
Citizens Business Bank,CA,,
Citizens First Bank,IA,,
Citizens National Bank,MI,$0.00,
Citizens National Bank,MN,$2.00,
City & County Credit Union,MN,,
City Bank & Trust Co.,NE,$0.00*,
Civic Federal Credit Union,NC,,
Civista Bank,OH,$3.00,
Claremont Savings Bank,NH,$0.00,
Clay County Savings Bank,MO,,
Clear Lake Bank and Trust Company,IA,,
Clear Mountain Bank,WV,,
Clearwater Credit Union,MT,,
Cleveland State Bank,WI,$0.00,
Climb Credit Union,CO,,
Cloverbelt Credit Union,WI,$0.00,
CME Federal Credit Union,OH,$0.00,MF
CNB Bank,PA,,
CNB St. Louis Bank,MO,,
CO-OP Credit Union,MN,$1.67*,
Coastal Federal Credit Union,NC,,
CODE Credit Union,OH,$0.00,CD
Collins Community Credit Union,IA,$0.00,
Colorado Credit Union,CO,,
Columbia Bank,NJ,$0.00,
Columbus Bank and Trust Company,NE,$0.00,
Commercial Bank and Trust Company,TN,,
Commonwealth Credit Union,KY,$0.00,
Communication Federal Credit Union,OK,$3.00*,
Community Bank,KS,$2.00*,
Community Bank,MN,$0.00,
Community Bank,MS,,
Community Bank,IL,$0.00,
Community Bank,WI,$0.00*,CD
"Community Bank, N.A.",NY,,
Community Choice Credit Union,IA,$0.00,
Community Financial Credit Union,MI,$0.00,
Community Financial Services Bank,KY,$0.00,
Community First Credit Union,WI,$0.00,
Community Link Federal Credit Union,IN,,
Community Savings Bank,IA,$0.00,
Community State Bank,WI,,
Community West Bank,CA,$3.00*,
Community West Credit Union,MI,,
Compass Credit Union,MI,$0.00,
Connexus Credit Union,WI,$2.00,
Constitution Bank,IL,,
Consumers Credit Union,IL,$0.00,MF CD
Consumers National Bank,OH,$3.00*,
Conway National Bank,SC,,
Core Bank,NE,,
CS Bank,AR,$4.16*,
Cornhusker Bank,NE,,
Coulee Bank,WI,,
County Bank,MO,$0.00,
Countybank,SC,$0.00,
CoVantage Credit Union,WI,$0.00,
Credit Union of Colorado,CO,$0.00,
Crews Bank & Trust,FL,$0.00,
Croghan Colonial Bank,OH,$1.50*,
Cross Keys Bank,LA,,
Crossbridge Community Bank,WI,,
Crossroads Bank,IL,$10 / year*,
Crossroads Bank,IN,$0.00,
